feature_group,candidate_count,quality_pass_count,univariate_pass_count,final_shortlist_count,median_auc_power,median_iv,median_psi_dev_val
current_application,276,276,146,91,0.5075493398814908,0.0,0.0
internal_previous_application,83,81,71,65,0.5232659132602209,0.014938105973158417,0.00014314624383412574
external_credit_history,86,86,73,64,0.5389646414286764,0.02883456317647553,8.605247034570685e-05
internal_repayment_history,60,60,54,52,0.5491366462793607,0.029742526778712728,0.00017551610217611053
internal_pos_cash_history,55,55,48,39,0.516856305560699,0.004251162651994959,7.453609088130956e-05
internal_credit_card_history,73,73,54,36,0.5116110686955592,0.002618145666435656,3.108952466879706e-05
external_credit_monthly_status,33,33,19,19,0.5104357971229512,0.0010361188906857827,5.4452344779003134e-06
feature_store_quality,2,2,2,1,0.5025467073767645,0.0058109448222721264,0.00011572649751376686
history_coverage,6,6,1,1,0.507203591088931,0.0,0.0
