strategy_action,strategy_action_label,rows,bad_rate,avg_pd,avg_score,annuity_to_income_mean,credit_to_income_mean,bureau_debt_ratio_proxy_mean,credit_card_utilization_proxy_mean,installment_recent_12m_late_ratio_mean,previous_refusal_proxy_mean,external_score_risk_proxy_mean,high_capacity_dimension_share,medium_plus_capacity_dimension_share
approve,自动通过,49171,0.04230135649061439,0.040726463300444195,630.5288799920263,0.17942635715007782,3.9927568435668945,0.42142027616500854,0.348842591047287,0.04256070777773857,0.11703062802553177,0.44895660877227783,0.15313904537227227,0.8593073152874662
manual_review,人工复核,6146,0.16010413276928084,0.14822370558521927,510.73168514926743,0.18227386474609375,3.805342197418213,0.5605295300483704,0.662824273109436,0.08475222438573837,0.17945295572280884,0.6112557649612427,0.4253172795314025,0.9819394728278555
decline,直接拒绝,6185,0.30735650767987066,0.3117033399287267,443.80266748304524,0.1889422982931137,3.7401585578918457,0.6283983588218689,0.8238245248794556,0.10567343235015869,0.2485952526330948,0.6957806944847107,0.6370250606305577,0.9956345998383185
