split,topk_pct,rows,bad_count,bad_rate_precision,bad_capture_recall,lift
final_holdout,0.01,616,333,0.5405844155844156,0.06706948640483383,6.696278494918979
final_holdout,0.05,3076,1188,0.3862158647594278,0.23927492447129908,4.784098311064316
final_holdout,0.1,6151,1892,0.3075922614209072,0.381067472306143,3.8101791061245986
final_holdout,0.15,9226,2432,0.26360286147843054,0.48982880161127895,3.265277580392031
final_holdout,0.2,12301,2880,0.23412730672303064,0.5800604229607251,2.9001606481530375
final_holdout,0.3,18451,3534,0.19153433418242913,0.7117824773413898,2.372556821931069
