candidate_feature,importance_gain,importance_split,original_feature,encoding,feature_group,auc_power,ks,iv,development_missing_rate,psi_development_validation,importance_gain_pct
bureau_balance_recent_6m_status_mean,171.09337091445923,16,bureau_balance_recent_6m_status_mean,numeric_original,external_credit_monthly_status,0.5363805205662652,0.0717444215153421,0.0086589281510745,0.7201786382088484,5.018713331636654e-06,0.0002981832227313824
bureau_closed_total_debt_to_credit_ratio,170.22631931304932,19,bureau_closed_total_debt_to_credit_ratio,numeric_original,external_credit_history,0.5029135176389224,0.0086257317464483,0.0334479244983159,0.2569441809795834,6.838164003398612e-05,0.0002966721166061073
ext_source_available_count,165.671950340271,8,ext_source_available_count,numeric_original,current_application,0.5256794499606974,0.0379596503718214,0.0113088861112149,0.0,7.583389917430664e-05,0.00028873471721680056
installment_recent_6m_shortfall_ratio,163.66888999938965,19,installment_recent_6m_shortfall_ratio,numeric_original,internal_repayment_history,0.5460404886283733,0.0924208783217183,0.0197886186414411,0.40803871939818,0.0001493565720747,0.0002852437638000955
CNT_FAM_MEMBERS,162.28735971450806,14,CNT_FAM_MEMBERS,numeric_original,current_application,0.5050646754792376,0.024625561804022,0.0028863716476591,5.41984856943097e-06,6.717106939567712e-05,0.0002828360191256805
previous_recent_24m_approved_count,158.8286395072937,16,previous_recent_24m_approved_count,numeric_original,internal_previous_application,0.5113384732282008,0.0225216347304592,0.000801819466234,0.0,3.011843348104898e-05,0.000276808127265224
installment_recent_24m_late_count,153.43211841583252,10,installment_recent_24m_late_count,numeric_original,internal_repayment_history,0.5648842380513004,0.1212203455142929,0.0587114191062199,0.0,0.0002184873680836,0.00026740301681594603
bureau_closed_debt_to_credit_mean,151.22994899749756,16,bureau_closed_debt_to_credit_mean,numeric_original,external_credit_history,0.5029123461057405,0.0090433343665389,0.0268773680137145,0.2957665562824175,5.512136074747355e-05,0.0002635650541254575
previous_recent_6m_refusal_rate,146.4492998123169,15,previous_recent_6m_refusal_rate,numeric_original,internal_previous_application,0.5500564473924968,0.0961185915028352,0.0205081052824053,0.7068295511823399,3.900342972906184e-05,0.00025523329133905455
previous_client_type_count,143.37465953826904,10,previous_client_type_count,numeric_original,internal_previous_application,0.508339242798545,0.0246491015803959,0.0046843462063001,0.0,0.0002052940272006,0.0002498747777931752
pos_recent_6m_active_month_count,143.3028507232666,15,pos_recent_6m_active_month_count,numeric_original,internal_pos_cash_history,0.5152398901279232,0.0294446249801008,0.0034865277928909,0.0,0.0002804460269024,0.00024974962867860983
CNT_CHILDREN,139.99052953720093,16,CNT_CHILDREN,numeric_original,current_application,0.5156756171503158,0.0339377070207835,0.0010791752135647,0.0,6.937737548331904e-06,0.00024397688248333903
bureau_balance_recent_12m_status_mean,137.3974003791809,15,bureau_balance_recent_12m_status_mean,numeric_original,external_credit_monthly_status,0.5440035234311429,0.0871503035186617,0.0098308401556266,0.71644978239308,7.905295126448072e-06,0.0002394575512832792
catoh__WALLSMATERIAL_MODE__02_Panel,137.19426918029785,8,WALLSMATERIAL_MODE,category_one_hot_train_top_level,current_application,0.5258673681440753,0.0524448648419668,0.0,0.0,0.0,0.00023910353221640067
previous_recent_12m_application_count,136.19330072402954,14,previous_recent_12m_application_count,numeric_original,internal_previous_application,0.5324182594040018,0.0513909023503018,0.0162603760490948,0.0,8.593990864769871e-05,0.00023735903446907552
bureau_overdue_loan_ratio,134.79714059829712,11,bureau_overdue_loan_ratio,numeric_original,external_credit_history,0.5089280862944717,0.0188081661910878,0.0108715054966376,0.1429430861701724,3.4987664289120174e-05,0.00023492579276301266
AMT_REQ_CREDIT_BUREAU_MON,132.69884061813354,14,AMT_REQ_CREDIT_BUREAU_MON,numeric_original,current_application,0.5034354777739389,0.0096447027547243,0.0139752213675809,0.1346669774046513,3.9316370274322225e-05,0.00023126885475893772
bureau_balance_recent_12m_bad_month_ratio,132.27844953536987,16,bureau_balance_recent_12m_bad_month_ratio,numeric_original,external_credit_monthly_status,0.5426117469037037,0.0852841422192645,0.0092936760926518,0.7077617651362821,2.8665275963232183e-05,0.00023053619301292142
previous_revolving_count,130.48096084594727,10,previous_revolving_count,numeric_original,internal_previous_application,0.5343944266073949,0.060202789951565,0.0184028283500103,0.0,4.935425920102646e-05,0.00022740351190803386
credit_card_recent_24m_month_count,125.66638946533203,12,credit_card_recent_24m_month_count,numeric_original,internal_credit_card_history,0.5034222097189108,0.0212022036797339,0.0028109607665091,0.0,0.0001957613214633,0.00021901262918318595
previous_recent_12m_refused_count,123.44520044326782,11,previous_recent_12m_refused_count,numeric_original,internal_previous_application,0.5412650320277221,0.0806368858594364,0.0281595541607975,0.0,2.5671750353423437e-05,0.00021514151893879308
REG_CITY_NOT_WORK_CITY,122.89152240753174,10,REG_CITY_NOT_WORK_CITY,numeric_original,current_application,0.541203561437701,0.0826319196524576,0.0,0.0,0.0,0.00021417656336997733
catoh__OCCUPATION_TYPE__03_Sales_staff,121.47874879837036,11,OCCUPATION_TYPE,category_one_hot_train_top_level,current_application,0.5113830624874954,0.0249320109684297,0.0,0.0,0.0,0.00021171436752031927
previous_recent_24m_refused_count,117.22897911071777,12,previous_recent_24m_refused_count,numeric_original,internal_previous_application,0.5558093627224324,0.1052557543474399,0.0503090512698098,0.0,6.754320718528848e-05,0.00020430782678436084
LIVE_CITY_NOT_WORK_CITY,116.06787061691284,11,LIVE_CITY_NOT_WORK_CITY,numeric_original,current_application,0.5236806362394777,0.0474620755780286,0.0,0.0,0.0,0.00020228423539228618
bureau_recent_12m_active_loan_count,115.66048049926758,7,bureau_recent_12m_active_loan_count,numeric_original,external_credit_history,0.5583843402967847,0.0910400288280729,0.0580771879132771,0.0,2.050649353844826e-05,0.00020157423185714562
installment_recent_6m_late_count,115.45427131652832,14,installment_recent_6m_late_count,numeric_original,internal_repayment_history,0.5371860665628196,0.073466002460114,0.029078548420095,0.0,0.0001332135889162,0.00020121484844949308
catfreq__FONDKAPREMONT_MODE,110.98478031158447,11,FONDKAPREMONT_MODE,category_frequency_train,current_application,0.5253408468465717,0.0502849653016484,0.0119956013158991,0.0,6.119239185574265e-06,0.00019342537522385071
installment_recent_24m_shortfall_count,97.7172794342041,14,installment_recent_24m_shortfall_count,numeric_original,internal_repayment_history,0.5553192586848912,0.105802807469184,0.0457249111841268,0.0,0.000247516475744,0.0001703026431854092
credit_card_def_dpd_month_ratio,97.4992299079895,12,credit_card_def_dpd_month_ratio,numeric_original,internal_credit_card_history,0.5109606801650659,0.0243908706420191,0.0012313867553218,0.7177397063526045,2.827455600423092e-05,0.00016992262430978467
previous_recent_6m_refused_count,96.61179971694946,11,previous_recent_6m_refused_count,numeric_original,internal_previous_application,0.5183480562714243,0.0399902011214712,0.0,0.0,0.0,0.00016837600217650667
bureau_closed_debt_to_credit_max,95.50872039794922,9,bureau_closed_debt_to_credit_max,numeric_original,external_credit_history,0.503063785949417,0.009564188040519,0.026903910050753,0.2957665562824175,5.3725988767714574e-05,0.00016645354460547503
catoh__ORGANIZATION_TYPE__01_Business_Entity_Type_3,92.42500925064087,7,ORGANIZATION_TYPE,category_one_hot_train_top_level,current_application,0.5186546668522609,0.0380118727150869,0.0,0.0,0.0,0.0001610792222517655
catoh__WALLSMATERIAL_MODE__03_Stone_brick,88.53852891921997,9,WALLSMATERIAL_MODE,category_one_hot_train_top_level,current_application,0.5094333771455887,0.0207694568216856,0.0,0.0,0.0,0.00015430582580682308
bureau_balance_recent_6m_bad_month_ratio,84.2172498703003,10,bureau_balance_recent_6m_bad_month_ratio,numeric_original,external_credit_monthly_status,0.5348902430450446,0.0701467990365632,0.0085689319088863,0.7102711550239287,2.4788065524579832e-05,0.00014677465784723745
catoh__NAME_FAMILY_STATUS__02_Single_not_married,83.07661962509155,6,NAME_FAMILY_STATUS,category_one_hot_train_top_level,current_application,0.5172443524658618,0.0363149463961888,0.0,0.0,0.0,0.00014478675614979953
bureau_recent_6m_active_loan_count,83.06865882873535,5,bureau_recent_6m_active_loan_count,numeric_original,external_credit_history,0.542937235134381,0.0789135481358527,0.0284476143236654,0.0,5.349414992015936e-06,0.0001447728819950014
