split,strategy_action,candidate_feature,reason_label,applicant_count,avg_reason_rank,avg_shap_value,avg_pd,bad_rate,avg_feature_value,action_applicant_count,applicant_share_in_action
final_holdout,decline,ext_source_mean,外部综合评分/外部数据风险信号,5663,1.069044675966802,0.7456606462145573,0.31618260318224306,0.31220201306727885,0.2820421821467026,6185,0.9156022635408245
final_holdout,decline,employment_years,就业稳定性相关风险,2643,3.648883844116534,0.15433407068162694,0.3003697556812658,0.2996594778660613,1.8351918476247173,6185,0.4273241713823767
final_holdout,decline,catfreq__CODE_GENDER,模型识别的申请资料风险信号,2241,3.1334225792057118,0.17970251904800855,0.3061374068833953,0.3132530120481928,0.34137457609176636,6185,0.36232821341956345
final_holdout,decline,ext_source_min,外部综合评分/外部数据风险信号,1897,3.0832894043226147,0.19899990970063602,0.34084091340046935,0.3352662098049552,0.05807745992236673,6185,0.3067097817299919
final_holdout,decline,credit_to_annuity_ratio,模型识别的申请资料风险信号,1859,3.4965034965034967,0.17196844789336424,0.3148129547063897,0.3146853146853147,17.143466588821124,6185,0.3005658852061439
final_holdout,decline,goods_to_credit_ratio,模型识别的申请资料风险信号,1755,3.381196581196581,0.17946382770673916,0.3178700235610541,0.33447293447293447,0.7587996227873697,6185,0.2837510105092967
final_holdout,decline,AMT_ANNUITY,模型识别的申请资料风险信号,1525,3.344918032786885,0.1718823348856748,0.3040326628166731,0.29311475409836063,39587.96950819672,6185,0.2465642683912692
final_holdout,decline,installment_payment_sum,历史分期还款表现风险,1236,3.5501618122977345,0.1636003058158788,0.30666904633146647,0.2977346278317152,46859.210386603394,6185,0.1998383185125303
final_holdout,decline,bureau_recent_24m_debt_to_credit_max,征信负债相对授信额度偏高,1161,3.1869078380706286,0.18492237596460762,0.3297360590408944,0.3049095607235142,15.76523040147691,6185,0.18771220695230395
final_holdout,decline,credit_card_recent_6m_utilization_max,近期信用卡额度使用率偏高,1092,2.0851648351648353,0.27251863404057924,0.33029286638878474,0.3498168498168498,1.046468321111176,6185,0.1765561843168957
final_holdout,decline,EXT_SOURCE_3,外部综合评分/外部数据风险信号,918,3.8540305010893245,0.1549398513347934,0.3311972359226188,0.31808278867102396,0.11968502661209221,6185,0.14842360549717057
final_holdout,decline,previous_refusal_rate,历史申请被拒记录较多,836,3.4138755980861246,0.16433395767785233,0.32826058271341196,0.33851674641148327,0.6132530892651047,6185,0.13516572352465642
