amount_cost_scenario,split,decline_pct_target_from_validation,manual_review_pct_target_from_validation,total_intervention_pct_target,pd_manual_cutoff_from_validation,pd_decline_cutoff_from_validation,score_manual_cutoff_from_validation,score_decline_cutoff_from_validation,rows,direct_decline_rows,manual_review_rows,auto_approve_rows,actual_direct_decline_pct,actual_manual_review_pct,total_credit_exposure,total_bad_credit_exposure,total_good_credit_exposure,direct_decline_credit_exposure,manual_review_credit_exposure,auto_approve_credit_exposure,bad_direct_decline_credit_exposure,good_direct_decline_credit_exposure,bad_manual_review_credit_exposure,good_manual_review_credit_exposure,bad_auto_approve_credit_exposure,good_auto_approve_credit_exposure,direct_decline_credit_share,manual_review_credit_share,direct_decline_exposure_bad_rate,manual_review_exposure_bad_rate,auto_approve_exposure_bad_rate,expected_bad_exposure_saved,expected_good_exposure_lost,expected_bad_exposure_saved_capture,expected_good_exposure_lost_capture,expected_final_reject_exposure_share,expected_final_approve_exposure_bad_rate,expected_loss_saved_amount,expected_margin_lost_amount,manual_review_cost_amount,incremental_profit_proxy_amount,incremental_profit_proxy_per_10000_applications,incremental_profit_proxy_per_100m_credit,lgd_rate,net_margin_rate,manual_review_cost_rate_of_median_credit,manual_review_unit_cost,manual_bad_catch_rate,manual_good_false_decline_rate,max_direct_decline_pct,max_manual_review_pct,max_total_intervention_pct
amount_balanced_base,development,0.03,0.0,0.03,0.3446418113652874,0.3446418113652874,430.2628900269997,430.2628900269997,184507,6622,0,177885,0.035890237226771884,0.0,110525324116.5,8329757778.0,102195566338.5,3475169847.0,0.0,107050154269.5,2650540653.0,824629194.0,0.0,0.0,5679217125.0,101370937144.5,0.03144229501048079,0.0,0.7627082328905808,0.0,0.05305192845124263,2650540653.0,824629194.0,0.3182014079689605,0.008069128862876496,0.03144229501048079,0.05305192845124263,1325270326.5,65970335.52,0.0,1259299990.98,68252152.54597387,1139376.881313305,0.5,0.08,0.001,510.8535,0.6,0.06,0.15,0.1,0.25
amount_balanced_base,development,0.03,0.03,0.06,0.2539950077229779,0.3446418113652874,461.62285245436374,430.2628900269997,184507,6622,5488,172397,0.035890237226771884,0.029744128949037163,110525324116.5,8329757778.0,102195566338.5,3475169847.0,2881179036.0,104168975233.5,2650540653.0,824629194.0,1321032411.0,1560146625.0,4358184714.0,99810790519.5,0.03144229501048079,0.026068044215487418,0.7627082328905808,0.4585041035263176,0.04183764603838052,3443160099.6,918237991.5,0.4133565694663829,0.008985105953212702,0.03946062249501153,0.04602879585699259,1721580049.8,73459039.32000001,2803564.008,1645317446.4720001,89173714.08521087,1488633.903247134,0.5,0.08,0.001,510.8535,0.6,0.06,0.15,0.1,0.25
amount_balanced_base,development,0.03,0.05,0.08,0.21782097369218856,0.3446418113652874,476.12139403555483,430.2628900269997,184507,6622,9009,168876,0.035890237226771884,0.04882741576200361,110525324116.5,8329757778.0,102195566338.5,3475169847.0,4737035448.0,102313118821.5,2650540653.0,824629194.0,1932463890.0,2804571558.0,3746753235.0,98566365586.5,0.03144229501048079,0.04285927669397191,0.7627082328905808,0.4079479478702014,0.03662045765154273,3810018987.0,992903487.48,0.4573985328916487,0.009715719801299686,0.04345540275835287,0.04275100376837829,1905009493.5,79432278.9984,4602279.1815,1820974935.3201,98694083.98164298,1647563.5334040627,0.5,0.08,0.001,510.8535,0.6,0.06,0.15,0.1,0.25
amount_balanced_base,development,0.03,0.07,0.1,0.19159978464952473,0.3446418113652874,487.75228358037833,430.2628900269997,184507,6622,12471,165414,0.035890237226771884,0.06759093150937363,110525324116.5,8329757778.0,102195566338.5,3475169847.0,6617070666.0,100433083603.5,2650540653.0,824629194.0,2384392315.5,4232678350.5,3294824809.5,97138258794.0,0.03144229501048079,0.059869271760969726,0.7627082328905808,0.36033955746483787,0.032806169952001536,4081176042.3,1078589895.03,0.4899513468541582,0.010554175035905293,0.04668401543786754,0.04032230084593158,2040588021.15,86287191.6024,6370853.9985,1947929975.5491,105574854.91331494,1762428.6480226654,0.5,0.08,0.001,510.8535,0.6,0.06,0.15,0.1,0.25
amount_balanced_base,development,0.03,0.1,0.13,0.16174800345772372,0.3446418113652874,502.5854007483094,430.2628900269997,184507,6622,17662,160223,0.035890237226771884,0.0957253654332898,110525324116.5,8329757778.0,102195566338.5,3475169847.0,9395833576.5,97654320693.0,2650540653.0,824629194.0,2967219423.0,6428614153.5,2711997702.0,94942322991.0,0.03144229501048079,0.08501068557461325,0.7627082328905808,0.31580161556089476,0.027771405123238953,4430872306.8,1210346043.21,0.5319329114830355,0.01184343006819884,0.05104005254093473,0.037173272753836806,2215436153.4,96827683.4568,9022694.516999999,2109585775.4262002,114336354.47035615,1908689.969732707,0.5,0.08,0.001,510.8535,0.6,0.06,0.15,0.1,0.25
amount_balanced_base,development,0.05,0.0,0.05,0.2762157442718041,0.2762157442718041,453.39180376043964,453.39180376043964,184507,10410,0,174097,0.0564206236077764,0.0,110525324116.5,8329757778.0,102195566338.5,5454997335.0,0.0,105070326781.5,3611945529.0,1843051806.0,0.0,0.0,4717812249.0,100352514532.5,0.049355180621321874,0.0,0.6621351592282675,0.0,0.04490147117188444,3611945529.0,1843051806.0,0.43361951514840313,0.01803455738867675,0.049355180621321874,0.04490147117188444,1805972764.5,147444144.48,0.0,1658528620.02,89889739.68575718,1500586.9770368792,0.5,0.08,0.001,510.8535,0.6,0.06,0.15,0.1,0.25
amount_balanced_base,development,0.05,0.03,0.08,0.21782097369218856,0.2762157442718041,476.12139403555483,453.39180376043964,184507,10410,5221,168876,0.0564206236077764,0.028297029380999095,110525324116.5,8329757778.0,102195566338.5,5454997335.0,2757207960.0,102313118821.5,3611945529.0,1843051806.0,971059014.0,1786148946.0,3746753235.0,98566365586.5,0.049355180621321874,0.024946391083130827,0.6621351592282675,0.35218925379861443,0.03662045765154273,4194580937.4,1950220742.76,0.5035657757634259,0.019083222615551922,0.0555963235509993,0.03961636466345508,2097290468.7,156017659.4208,2667166.1234999998,1938605643.1557,105069490.21748225,1753992.2715922543,0.5,0.08,0.001,510.8535,0.6,0.06,0.15,0.1,0.25
amount_balanced_base,development,0.05,0.05,0.1,0.19159978464952473,0.2762157442718041,487.75228358037833,453.39180376043964,184507,10410,8683,165414,0.0564206236077764,0.047060545128369116,110525324116.5,8329757778.0,102195566338.5,5454997335.0,4637243178.0,100433083603.5,3611945529.0,1843051806.0,1422987439.5,3214255738.5,3294824809.5,97138258794.0,0.049355180621321874,0.041956386150128644,0.6621351592282675,0.3068606464830083,0.032806169952001536,4465737992.7,2035907150.31,0.5361185897259352,0.01992167785015753,0.05882493623051397,0.03714557900114963,2232868996.35,162872572.0248,4435740.9405,2065560683.3846998,111950261.14915423,1868857.386210857,0.5,0.08,0.001,510.8535,0.6,0.06,0.15,0.1,0.25
amount_balanced_base,development,0.05,0.07,0.12000000000000001,0.1706412777881954,0.2762157442718041,497.95507381024896,453.39180376043964,184507,10410,12170,161927,0.0564206236077764,0.0659595570899749,110525324116.5,8329757778.0,102195566338.5,5454997335.0,6520070470.5,98550256311.0,3611945529.0,1843051806.0,1841983677.0,4678086793.5,2875828572.0,95674427739.0,0.049355180621321874,0.05899164307021144,0.6621351592282675,0.2825097804286071,0.029181340360238162,4717135735.2,2123737013.6100001,0.5662992683483047,0.020781107142902808,0.06189416591621418,0.03484246668759208,2358567867.6,169898961.0888,6217087.095,2182451819.4162,118285583.7131491,1974616.9820011307,0.5,0.08,0.001,510.8535,0.6,0.06,0.15,0.1,0.25
amount_balanced_base,development,0.05,0.1,0.15000000000000002,0.14573348292807567,0.2762157442718041,511.4712880523599,453.39180376043964,184507,10410,17400,156697,0.0564206236077764,0.09430536510809888,110525324116.5,8329757778.0,102195566338.5,5454997335.0,9340848679.5,95729478102.0,3611945529.0,1843051806.0,2328841696.5,7012006983.0,2388970552.5,93340507549.5,0.049355180621321874,0.08451319870959358,0.6621351592282675,0.24931799843958707,0.024955432745121058,5009250546.9,2263772224.98,0.6013680926149014,0.022151374135760057,0.06580412977765908,0.03215915953308692,2504625273.45,181101777.9984,8888850.9,2314634644.5515995,125449692.6702835,2094212.0396877034,0.5,0.08,0.001,510.8535,0.6,0.06,0.15,0.1,0.25
amount_balanced_base,development,0.07,0.0,0.07,0.23432114709867607,0.23432114709867607,469.3162078296537,469.3162078296537,184507,13931,0,170576,0.07550391042074285,0.0,110525324116.5,8329757778.0,102195566338.5,7303728622.5,0.0,103221595494.0,4304662915.5,2999065707.0,0.0,0.0,4025094862.5,99196500631.5,0.06608194710925663,0.0,0.5893788143002707,0.0,0.03899469721657197,4304662915.5,2999065707.0,0.5167812834689129,0.029346338735148886,0.06608194710925663,0.03899469721657197,2152331457.75,239925256.56,0.0,1912406201.19,103649520.13690537,1730287.8018925462,0.5,0.08,0.001,510.8535,0.6,0.06,0.15,0.1,0.25
amount_balanced_base,development,0.07,0.03,0.1,0.19159978464952473,0.23432114709867607,487.75228358037833,469.3162078296537,184507,13931,5162,165414,0.07550391042074285,0.027977258315402667,110525324116.5,8329757778.0,102195566338.5,7303728622.5,2788511890.5,100433083603.5,4304662915.5,2999065707.0,730270053.0,2058241837.5,3294824809.5,97138258794.0,0.06608194710925663,0.02522961966219388,0.5893788143002707,0.2618852211058915,0.032806169952001536,4742824947.3,3122560217.25,0.5693832970541391,0.030554752315841337,0.07116364713175992,0.03493994704573967,2371412473.65,249804817.38,2637025.767,2118970630.503,114844999.40397926,1917181.1052727464,0.5,0.08,0.001,510.8535,0.6,0.06,0.15,0.1,0.25
