candidate_feature,mean_abs_shap,mean_shap,mean_positive_shap,positive_shap_rate,original_feature,encoding,feature_group,auc_power,ks,iv,development_missing_rate,psi_development_validation,importance_gain,importance_gain_pct,importance_split,reason_label
ext_source_mean,0.40686768981960003,0.003305355790542042,0.20508652280507095,0.4612289031251016,ext_source_mean,numeric_original,current_application,0.7166262240902831,0.3250437600134246,0.6094893542326927,0.0005636642512208,0.0001587200574916,99467.40545988084,0.173352780170455,377,外部综合评分/外部数据风险信号
employment_years,0.11625103265942069,-0.0003795868314658408,0.05793572291397738,0.5278283633052584,employment_years,numeric_original,current_application,0.5831279860208569,0.1322741483872072,0.1143330693654077,0.1804213390277875,0.0001294742905551,11626.205137729645,0.0202622655546229,552,就业稳定性相关风险
catfreq__CODE_GENDER,0.10855762784343116,-0.00422242518697842,0.05216760132822634,0.3420620467627069,CODE_GENDER,category_frequency_train,current_application,0.5461156063341677,0.0927197719998926,0.0362458270885456,0.0,4.344326533415731e-07,3785.787798166275,0.0065979084999076,126,模型识别的申请资料风险信号
AMT_ANNUITY,0.10237130024157808,-0.0020989514704554007,0.05013617438556134,0.47000097557803,AMT_ANNUITY,numeric_original,current_application,0.5016594293431377,0.0345755500724912,0.0231489153634522,4.335878855544776e-05,0.0002911078448296,6852.430446624756,0.0119424837046362,383,模型识别的申请资料风险信号
credit_to_annuity_ratio,0.08802066482909031,0.0007164750378368205,0.04436856993346357,0.5420961919937562,credit_to_annuity_ratio,numeric_original,current_application,0.5322177936054967,0.0952032952315857,0.1428712442187236,4.335878855544776e-05,9.044507434001096e-05,12433.298265457152,0.0216688754576475,625,模型识别的申请资料风险信号
goods_to_credit_ratio,0.08736374612338275,-0.0018056320661434591,0.042779057028619664,0.41366947416344185,goods_to_credit_ratio,numeric_original,current_application,0.5674783644731105,0.1200333216459688,0.0678484781781657,0.0008996948625255,0.0001326964714271,7686.860786914825,0.0133967371726852,270,模型识别的申请资料风险信号
OWN_CAR_AGE,0.07410719266401007,0.0015780842692412712,0.037842638466625673,0.6944083119248154,OWN_CAR_AGE,numeric_original,current_application,0.5580178737891622,0.1068544424972783,0.0251494021219899,0.6603055710623446,0.000290073156691,4367.221909761429,0.0076112376328527,208,年龄段相关风险
installment_payment_sum,0.06511493092159662,-0.0026241307429137836,0.031245400089341412,0.4078241358004618,installment_payment_sum,numeric_original,internal_repayment_history,0.5336317952684966,0.0612050363597862,0.01837203194416,0.0,0.0003051076340169,5820.079414367676,0.0101432920928093,254,历史分期还款表现风险
EXT_SOURCE_1,0.06052207492100089,0.006089322496421537,0.03330569870871124,0.6154677896653767,EXT_SOURCE_1,numeric_original,current_application,0.6637524666894945,0.2423925977289344,0.145247673773825,0.564206236077764,0.0002058492938243,6396.941212177277,0.0111486525519675,367,外部综合评分/外部数据风险信号
DAYS_BIRTH,0.06046953838392254,-0.003054943925945071,0.028707297228988755,0.5506568892068551,DAYS_BIRTH,numeric_original,current_application,0.5832345109411772,0.12253555588599,0.0852754811446048,0.0,0.0001449920412785,7830.672772884369,0.0136473741273176,487,年龄段相关风险
catoh__NAME_FAMILY_STATUS__01_Married,0.0590552433211962,-0.0009761245052691733,0.02903955940796352,0.3612484146857013,NAME_FAMILY_STATUS,category_one_hot_train_top_level,current_application,0.5221901024312845,0.0446922608041288,0.0,0.0,0.0,1471.349925994873,0.0025642832352521,78,模型识别的申请资料风险信号
ext_source_max,0.05667746175611594,0.00970695365376739,0.03319220770494165,0.6617670970049755,ext_source_max,numeric_original,current_application,0.6857743043006221,0.2713294014544608,0.4409884370274413,0.0005636642512208,0.0002232955563586,13398.73248052597,0.0233514437771898,293,外部综合评分/外部数据风险信号
bureau_recent_24m_debt_to_credit_max,0.05584366467955289,-0.000866639844296204,0.027488512417628338,0.5407141231179474,bureau_recent_24m_debt_to_credit_max,numeric_original,external_credit_history,0.6209297328676409,0.1912290145840412,0.1291512392413947,0.3593793189418288,0.0001886101535028,9068.43094778061,0.0158045513433606,258,征信负债相对授信额度偏高
catoh__NAME_EDUCATION_TYPE__02_Higher_education,0.05174214071231364,-0.0004528375590596406,0.025644651576627004,0.754975447952912,NAME_EDUCATION_TYPE,category_one_hot_train_top_level,current_application,0.5434875831011248,0.087281748283706,0.0,0.0,0.0,2481.732918739319,0.0043251887300661,56,模型识别的申请资料风险信号
id_publish_years,0.04941610320170133,0.0006113715060230158,0.02501373735386219,0.6393857110337875,id_publish_years,numeric_original,current_application,0.558228382980718,0.0903566303178448,0.0421022529434011,0.0,0.000285344118628,4978.577799081802,0.0086767147366062,403,模型识别的申请资料风险信号
bureau_credit_card_debt_to_credit_max,0.04723260790638442,0.0007367962153489894,0.02398470206086671,0.7054973821989529,bureau_credit_card_debt_to_credit_max,numeric_original,external_credit_history,0.6380815543001183,0.2276025634621152,0.1216684051661472,0.514191873479055,0.0001228809473884,5583.537491321564,0.0097310444846876,194,征信负债相对授信额度偏高
bureau_max_credit_max_overdue,0.04653735471187444,-0.0005629380931358655,0.02298720830936928,0.3356151019479041,bureau_max_credit_max_overdue,numeric_original,external_credit_history,0.5502820570125444,0.1011043590937,0.0223193542593333,0.4019359699090007,9.600471382905316e-05,3585.9401140213013,0.0062496119750613,255,外部征信历史风险信号
bureau_closed_credit_sum,0.04366423319476533,0.0008641659943900809,0.02226419959457772,0.6078908002991773,bureau_closed_credit_sum,numeric_original,external_credit_history,0.5639715560907739,0.1058235799548565,0.0534841809924967,0.0,0.0001396815124533,2590.418089389801,0.0045146063227785,182,外部征信历史风险信号
AMT_GOODS_PRICE,0.04352405354619167,0.003827150054634713,0.0236756018004132,0.567241715716562,AMT_GOODS_PRICE,numeric_original,current_application,0.5322314228913305,0.0924222606562126,0.0922906827712216,0.0008996948625255,8.265290977156308e-05,4520.399393081665,0.0078781968691001,275,模型识别的申请资料风险信号
